2025-11-02 03:58:46,460 | INFO | === START: INGEST ===
2025-11-02 03:58:46,461 | INFO | Reading doctors file from: /Users/youngeddieb/PycharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 03:58:46,585 | INFO | Doctors file loaded: 5 rows
2025-11-02 03:58:46,585 | INFO | Reading appointments file from: /Users/youngeddieb/PycharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 03:58:46,607 | INFO | Appointments file loaded: 1025 rows
2025-11-02 03:58:46,608 | INFO | === END: INGEST ===
2025-11-02 04:04:43,994 | INFO | === START: INGEST ===
2025-11-02 04:04:43,995 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 04:04:44,012 | INFO | Doctors file loaded: 5 rows
2025-11-02 04:04:44,013 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 04:04:44,043 | INFO | Appointments file loaded: 1025 rows
2025-11-02 04:04:44,044 | INFO | === END: INGEST ===
2025-11-02 04:04:44,044 | INFO | Transforming doctors dataset...
2025-11-02 04:04:44,046 | INFO | Doctors cleaned: 5 rows
2025-11-02 04:04:44,047 | INFO | Transforming appointments dataset...
2025-11-02 04:04:44,050 | INFO | Dates normalized to YYYY-MM-DD format
2025-11-02 04:04:44,051 | INFO | Status values standardized
2025-11-02 11:07:44,201 | INFO | === START: INGEST ===
2025-11-02 11:07:44,201 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:07:44,270 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:07:44,272 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:07:44,308 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:07:44,309 | INFO | === END: INGEST ===
2025-11-02 11:07:44,309 | INFO | Transforming doctors dataset...
2025-11-02 11:07:44,311 | INFO | Doctors cleaned: 5 rows
2025-11-02 11:07:44,312 | INFO | Transforming appointments dataset...
2025-11-02 11:07:44,315 | INFO | Dates normalized to YYYY-MM-DD format
2025-11-02 11:07:44,317 | INFO | Status values standardized
2025-11-02 11:08:06,827 | INFO | === START: INGEST ===
2025-11-02 11:08:06,828 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:08:06,841 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:08:06,842 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:08:06,867 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:08:06,868 | INFO | === END: INGEST ===
2025-11-02 11:08:06,868 | INFO | Transforming doctors dataset...
2025-11-02 11:08:06,870 | INFO | Doctors cleaned: 5 rows
2025-11-02 11:08:06,870 | INFO | Transforming appointments dataset...
2025-11-02 11:08:06,873 | INFO | Dates normalized to YYYY-MM-DD format
2025-11-02 11:08:06,874 | INFO | Status values standardized
2025-11-02 11:11:15,506 | INFO | === START: INGEST ===
2025-11-02 11:11:15,507 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:11:15,517 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:11:15,518 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:11:15,546 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:11:15,547 | INFO | === END: INGEST ===
2025-11-02 11:11:15,547 | INFO | Transforming doctors dataset...
2025-11-02 11:11:15,549 | INFO | Doctors cleaned: 5 rows
2025-11-02 11:11:15,550 | INFO | Transforming appointments dataset...
2025-11-02 11:11:15,554 | INFO | Dates normalized to YYYY-MM-DD format
2025-11-02 11:11:15,555 | INFO | Status values standardized
2025-11-02 11:13:53,575 | INFO | === START: INGEST ===
2025-11-02 11:13:53,578 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:13:53,590 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:13:53,591 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:13:53,619 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:13:53,619 | INFO | === END: INGEST ===
2025-11-02 11:13:53,620 | INFO | Transforming doctors dataset...
2025-11-02 11:13:53,622 | INFO | Doctors cleaned: 5 rows
2025-11-02 11:13:53,623 | INFO | Transforming appointments dataset...
2025-11-02 11:13:53,625 | INFO | Dates normalized to YYYY-MM-DD format
2025-11-02 11:13:53,626 | INFO | Status values standardized
2025-11-02 11:14:01,865 | INFO | === START: INGEST ===
2025-11-02 11:14:01,870 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:14:01,887 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:14:01,887 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:14:01,934 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:14:01,934 | INFO | === END: INGEST ===
2025-11-02 11:14:01,935 | INFO | Transforming doctors dataset...
2025-11-02 11:14:01,936 | INFO | Doctors cleaned: 5 rows
2025-11-02 11:14:01,937 | INFO | Transforming appointments dataset...
2025-11-02 11:14:01,940 | INFO | Dates normalized to YYYY-MM-DD format
2025-11-02 11:14:01,941 | INFO | Status values standardized
2025-11-02 11:14:19,392 | INFO | === START: INGEST ===
2025-11-02 11:14:19,394 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:14:19,414 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:14:19,414 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:14:19,438 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:14:19,438 | INFO | === END: INGEST ===
2025-11-02 11:14:19,439 | INFO | Transforming doctors dataset...
2025-11-02 11:14:19,440 | INFO | Doctors cleaned: 5 rows
2025-11-02 11:14:19,440 | INFO | Transforming appointments dataset...
2025-11-02 11:14:19,443 | INFO | Dates normalized to YYYY-MM-DD format
2025-11-02 11:14:19,444 | INFO | Status values standardized
2025-11-02 11:16:29,103 | INFO | === START: INGEST ===
2025-11-02 11:16:29,104 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:16:29,117 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:16:29,118 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
